full_name,name,owner,html_url,description,created_at,updated_at,pushed_at,size,language,forks_count,stargazers_count,subscribers_count,watchers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,open_issues_count,total_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count
googlesamples/sceneform-samples,sceneform-samples,googlesamples,https://github.com/googlesamples/sceneform-samples,Sceneform samples for 3D rendering for ARCore in Java.,2018-08-08 00:18:33+00:00,2023-12-07 08:49:32+00:00,2018-12-06 22:12:32+00:00,19502,Java,22,87,15,87,22,True,54246,{'Java': '100.00%'},5,1,4,5,0,0,0,0,19,2018-07-26 22:39:09+00:00,2018-08-17 17:21:09+00:00,2,"('3d-graphics', 'arcore', 'java', 'sceneform')",1
googlesamples/arcore-illusive-images,arcore-illusive-images,googlesamples,https://github.com/googlesamples/arcore-illusive-images,,2018-05-08 19:09:27+00:00,2024-07-08 15:10:04+00:00,2018-12-28 09:53:33+00:00,82492,C#,25,62,13,62,25,True,683465,"{'C#': '97.56%', 'ShaderLab': '2.37%', 'Objective-C++': '0.08%'}",2,2,0,2,2,0,2,2,9,2018-05-10 07:53:03+00:00,2018-12-28 09:53:32+00:00,1,(),2
googlesamples/sceneform-poly-browser,sceneform-poly-browser,googlesamples,https://github.com/googlesamples/sceneform-poly-browser,,2018-12-19 21:45:19+00:00,2020-10-01 06:03:25+00:00,2018-12-20 18:49:35+00:00,130,Java,5,6,6,6,5,False,49204,{'Java': '100.00%'},0,0,0,0,0,0,0,0,3,2018-12-07 18:12:47+00:00,2018-12-10 21:01:39+00:00,1,(),1
googlesamples/pluscode-swift-demo,pluscode-swift-demo,googlesamples,https://github.com/googlesamples/pluscode-swift-demo,An example Plus Code service written in Swift,2019-04-16 23:21:03+00:00,2020-09-19 08:44:40+00:00,2019-07-31 07:40:48+00:00,9,Swift,5,2,8,2,5,False,4701,"{'Swift': '81.64%', 'Dockerfile': '18.36%'}",0,0,0,0,0,0,0,0,5,2019-04-06 23:54:11+00:00,2019-07-31 07:40:31+00:00,1,(),1
googlesamples/assistant-sdk-cpp,assistant-sdk-cpp,googlesamples,https://github.com/googlesamples/assistant-sdk-cpp,Example of Google Assistant gRPC in C++,2017-08-21 19:44:53+00:00,2024-06-21 15:32:20+00:00,2020-11-24 11:21:14+00:00,276,C++,44,96,19,96,44,False,63956,"{'C++': '80.63%', 'Shell': '10.05%', 'Makefile': '8.07%', 'C': '1.24%'}",83,57,26,83,10,3,13,7,33,2017-08-23 21:50:00+00:00,2019-02-21 21:01:11+00:00,3,"('cpp', 'google-assistant-api')",4
googlesamples/io19-sonic-boom,io19-sonic-boom,googlesamples,https://github.com/googlesamples/io19-sonic-boom,"Live coding demo of ""Sonic Boom!"" talk in Google I/O 2019",2019-05-02 20:49:04+00:00,2023-10-07 07:45:11+00:00,2019-05-09 02:12:14+00:00,163,C++,4,10,10,10,4,False,92028,"{'C++': '72.16%', 'JavaScript': '14.22%', 'Java': '4.89%', 'HTML': '2.74%', 'C': '2.68%', 'CSS': '1.48%', 'Makefile': '0.93%', 'CMake': '0.89%'}",0,0,0,0,0,0,0,0,1,2019-05-09 02:08:37+00:00,2019-05-09 02:08:37+00:00,1,(),1
googlesamples/maps-deckgl-scatterplot-example,maps-deckgl-scatterplot-example,googlesamples,https://github.com/googlesamples/maps-deckgl-scatterplot-example,,2019-10-02 20:24:09+00:00,2022-08-19 14:22:54+00:00,2019-10-12 10:29:19+00:00,644,JavaScript,7,11,8,11,7,False,8199,"{'JavaScript': '51.73%', 'HTML': '44.52%', 'CSS': '3.76%'}",2,0,2,2,0,1,1,0,8,2019-10-02 00:53:07+00:00,2019-10-02 20:43:11+00:00,1,(),1
googlesamples/android-dynamic-code-loading,android-dynamic-code-loading,googlesamples,https://github.com/googlesamples/android-dynamic-code-loading,Android dynamic code loading sample for Dynamic Feature Modules.,2019-05-06 15:00:47+00:00,2024-07-11 09:39:20+00:00,2022-12-17 09:11:02+00:00,148,Kotlin,65,423,32,423,65,True,28584,{'Kotlin': '100.00%'},14,2,12,14,0,4,4,0,2,2019-04-26 12:18:34+00:00,2019-05-13 07:58:35+00:00,1,(),1
googlesamples/identity-appflip-tester-ios,identity-appflip-tester-ios,googlesamples,https://github.com/googlesamples/identity-appflip-tester-ios,Lightweight iOS app that simulates the Google app role during App Flip,2019-10-08 18:13:47+00:00,2024-03-12 12:45:12+00:00,2020-11-22 06:15:39+00:00,108,Swift,5,9,9,9,5,True,5107,{'Swift': '100.00%'},3,3,0,3,2,0,2,2,7,2019-09-10 19:15:57+00:00,2020-08-26 14:44:12+00:00,2,"('account-linking', 'authentication', 'authorization', 'ios', 'oauth2')",1
googlesamples/google-photos,google-photos,googlesamples,https://github.com/googlesamples/google-photos,Samples for the Google Photos Library API 📸,2018-05-08 16:54:43+00:00,2024-07-27 09:36:01+00:00,2024-07-09 23:03:20+00:00,1180,JavaScript,214,495,38,495,214,False,68428,"{'JavaScript': '59.26%', 'EJS': '34.92%', 'CSS': '5.82%'}",36,20,16,36,8,7,15,1,18,2018-04-26 00:36:49+00:00,2023-01-05 17:49:50+00:00,3,"('google-photos', 'sample')",3
googlesamples/identity-appflip-tester-android,identity-appflip-tester-android,googlesamples,https://github.com/googlesamples/identity-appflip-tester-android,Lightweight Android app that simulates the Google app role during App Flip,2019-10-08 18:39:13+00:00,2024-08-06 23:25:22+00:00,2020-08-26 13:36:32+00:00,186,Java,8,18,16,18,8,False,10564,{'Java': '100.00%'},6,3,3,6,2,1,3,2,7,2019-09-10 19:14:35+00:00,2020-08-25 20:25:04+00:00,1,"('account-linking', 'android', 'authentication', 'authorization', 'oauth2')",2
googlesamples/appauth-js-electron-sample,appauth-js-electron-sample,googlesamples,https://github.com/googlesamples/appauth-js-electron-sample,"This is an Electron Application, which uses the AppAuth-JS library.",2017-08-04 18:32:11+00:00,2024-05-30 09:55:49+00:00,2024-03-17 08:21:13+00:00,163,TypeScript,56,115,12,115,56,False,18060,"{'TypeScript': '86.59%', 'HTML': '10.70%', 'CSS': '2.71%'}",26,15,11,26,15,11,26,4,35,2017-06-07 00:06:48+00:00,2019-01-29 23:33:13+00:00,9,(),4
googlesamples/identity-appflip-android,identity-appflip-android,googlesamples,https://github.com/googlesamples/identity-appflip-android,Lightweight Android app that simulates your native app role during App Flip,2019-10-08 18:43:05+00:00,2024-07-26 13:58:24+00:00,2020-04-04 07:55:58+00:00,211,Java,8,34,22,34,8,True,11042,{'Java': '100.00%'},5,3,2,5,2,1,3,2,7,2019-09-10 19:17:46+00:00,2020-03-20 18:26:09+00:00,1,"('account-linking', 'android', 'authentication', 'authorization', 'oauth2')",1
googlesamples/google-signin-unity,google-signin-unity,googlesamples,https://github.com/googlesamples/google-signin-unity,Google Sign-In API plugin for Unity game engine.  Works with Android and iOS.,2017-10-12 16:40:40+00:00,2024-08-03 22:23:45+00:00,2024-07-13 16:16:15+00:00,235,C++,223,407,24,407,223,False,258556,"{'C++': '38.50%', 'Java': '31.26%', 'C#': '13.57%', 'Objective-C++': '11.70%', 'CMake': '2.49%', 'Objective-C': '1.12%', 'C': '0.70%', 'Ruby': '0.62%', 'Shell': '0.05%'}",256,75,181,256,11,12,23,2,37,2017-03-29 15:02:35+00:00,2018-09-19 16:58:19+00:00,1,(),4
googlesamples/identity-appflip-ios,identity-appflip-ios,googlesamples,https://github.com/googlesamples/identity-appflip-ios,Lightweight iOS app that simulates your native app role during App Flip,2019-10-08 18:47:45+00:00,2024-04-26 19:54:33+00:00,2020-08-26 14:41:53+00:00,46,Swift,10,10,9,10,10,False,4429,{'Swift': '100.00%'},5,5,0,5,3,0,3,3,8,2019-09-10 19:18:07+00:00,2020-08-26 14:41:51+00:00,2,"('account-linking', 'authentication', 'authorization', 'ios', 'oauth2')",1
googlesamples/functions-as-a-service,functions-as-a-service,googlesamples,https://github.com/googlesamples/functions-as-a-service,A demo showing Google Cloud Functions + Google Maps Platform,2019-05-06 19:10:37+00:00,2024-08-01 21:54:32+00:00,2024-06-11 13:41:03+00:00,364,TypeScript,11,28,7,28,11,False,5626,"{'TypeScript': '98.12%', 'Shell': '1.88%'}",15,4,11,15,1,11,12,0,9,2019-05-22 21:11:52+00:00,2019-07-22 17:13:57+00:00,12,(),1
googlesamples/android-testdpc,android-testdpc,googlesamples,https://github.com/googlesamples/android-testdpc,"Test DPC is a sample device policy controller for use with Android Enterprise. It gives developers the ability to see how their app will behave in a managed context such as device owner or within a managed profile. Users can set up a work profile, enable work apps, set applications restrictions, manage security polices, and much more. The app also serves as a implementation reference for other DPCs",2015-05-22 02:46:28+00:00,2024-08-06 02:22:38+00:00,2024-07-28 22:25:14+00:00,9172,Java,327,751,82,751,327,False,1396451,"{'Java': '99.05%', 'Starlark': '0.90%', 'AIDL': '0.04%', 'Shell': '0.00%'}",224,199,25,224,27,5,32,13,1306,2015-03-04 11:34:49+00:00,2024-06-25 22:02:54+00:00,3,(),30
googlesamples/android-vision,android-vision,googlesamples,https://github.com/googlesamples/android-vision,Deprecated: The Mobile Vision API is now a part of ML Kit: Check out this repo:,2015-07-01 21:40:31+00:00,2024-08-07 21:44:26+00:00,2023-07-01 07:16:56+00:00,735,Java,1730,2928,237,2928,1730,False,487821,{'Java': '100.00%'},471,149,322,471,26,15,41,14,77,2015-06-08 23:39:00+00:00,2019-10-07 23:23:46+00:00,1,(),14
googlesamples/gboard-dev-samples,gboard-dev-samples,googlesamples,https://github.com/googlesamples/gboard-dev-samples,,2021-02-03 22:29:17+00:00,2024-06-08 10:34:39+00:00,2021-02-03 23:29:06+00:00,1165,Java,1,4,6,4,1,False,9067,{'Java': '100.00%'},1,0,1,1,0,0,0,0,5,2021-02-03 22:42:13+00:00,2021-02-03 23:28:40+00:00,1,(),1
googlesamples/arcore-ml-sample,arcore-ml-sample,googlesamples,https://github.com/googlesamples/arcore-ml-sample,,2021-05-18 13:56:59+00:00,2024-07-16 13:00:17+00:00,2022-02-09 10:50:52+00:00,776,Java,31,71,10,71,31,False,136287,"{'Java': '64.34%', 'Kotlin': '31.73%', 'GLSL': '3.93%'}",10,2,8,10,0,0,0,0,2,2021-03-15 14:36:50+00:00,2022-02-09 10:50:52+00:00,1,(),1
googlesamples/arcore-depth-lab,arcore-depth-lab,googlesamples,https://github.com/googlesamples/arcore-depth-lab,ARCore Depth Lab is a set of Depth API samples that provides assets using depth for advanced geometry-aware features in AR interaction and rendering. (UIST 2020),2020-06-16 23:16:30+00:00,2024-08-08 12:20:40+00:00,2024-06-05 20:28:30+00:00,80334,C#,152,770,35,770,152,False,316597,"{'C#': '76.52%', 'ShaderLab': '17.87%', 'GLSL': '3.16%', 'HLSL': '2.46%'}",55,55,0,55,4,0,4,3,17,2020-06-25 22:43:42+00:00,2024-06-05 20:28:30+00:00,2,"('ar', 'arcore', 'arcore-unity', 'depth', 'depth-api', 'depthlab', 'interaction', 'mobile')",5
googlesamples/amapi,amapi,googlesamples,https://github.com/googlesamples/amapi,,2021-09-24 15:38:07+00:00,2024-04-08 15:19:09+00:00,2022-02-17 13:52:43+00:00,73,Kotlin,5,8,8,8,5,False,13234,{'Kotlin': '100.00%'},0,0,0,0,0,0,0,0,2,2021-09-27 16:18:46+00:00,2022-02-16 16:07:04+00:00,1,(),0
googlesamples/.allstar,.allstar,googlesamples,https://github.com/googlesamples/.allstar,,2022-10-26 03:32:07+00:00,2024-02-08 21:09:03+00:00,2022-12-06 23:07:03+00:00,0,,2,1,5,1,2,True,0,{},0,0,0,0,0,0,0,0,1,2022-12-06 23:07:02+00:00,2022-12-06 23:07:02+00:00,1,(),0
googlesamples/meet-live-sharing,meet-live-sharing,googlesamples,https://github.com/googlesamples/meet-live-sharing,,2022-08-24 18:34:28+00:00,2024-05-30 10:07:03+00:00,2023-10-06 18:21:45+00:00,271,Java,3,10,8,10,3,False,104405,"{'Java': '51.91%', 'Swift': '48.09%'}",1,1,0,1,1,0,1,1,7,2022-09-16 18:40:08+00:00,2023-10-06 18:21:40+00:00,1,(),1
googlesamples/task-interop,task-interop,googlesamples,https://github.com/googlesamples/task-interop,,2020-11-16 15:27:53+00:00,2024-07-09 16:34:25+00:00,2024-07-09 16:34:21+00:00,96,Kotlin,9,6,8,6,9,False,6427,{'Kotlin': '100.00%'},8,8,0,8,7,0,7,4,14,2020-11-16 21:37:07+00:00,2024-07-09 16:34:21+00:00,1,(),3
googlesamples/subgraph_sdk_sample,subgraph_sdk_sample,googlesamples,https://github.com/googlesamples/subgraph_sdk_sample,,2022-12-15 03:54:35+00:00,2024-05-30 09:51:23+00:00,2024-03-25 16:29:58+00:00,289,Kotlin,1,6,3,6,1,False,11785,{'Kotlin': '100.00%'},0,0,0,0,0,0,0,0,14,2022-12-15 21:43:19+00:00,2024-03-25 14:30:16+00:00,1,(),1
googlesamples/zero-touch-enrollment-colabs,zero-touch-enrollment-colabs,googlesamples,https://github.com/googlesamples/zero-touch-enrollment-colabs,,2023-08-18 17:50:21+00:00,2024-05-30 10:08:35+00:00,2023-09-27 16:53:44+00:00,13,Jupyter Notebook,1,1,2,1,1,False,18098,{'Jupyter Notebook': '100.00%'},0,0,0,0,0,0,0,0,5,2023-08-18 18:50:22+00:00,2023-09-27 16:53:44+00:00,1,(),1
googlesamples/searchinapps-sample,searchinapps-sample,googlesamples,https://github.com/googlesamples/searchinapps-sample,,2024-03-04 17:10:42+00:00,2024-06-26 19:58:46+00:00,2024-06-26 19:58:42+00:00,161,Kotlin,2,2,8,2,2,False,26632,"{'Kotlin': '56.67%', 'Java': '43.33%'}",2,1,1,2,1,0,1,0,2,2024-03-04 18:32:25+00:00,2024-06-26 15:47:21+00:00,2,(),0
