full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count,timestamp
googlesamples/arcore-lightboard,arcore-lightboard,googlesamples,https://github.com/googlesamples/arcore-lightboard,,C#,2018-05-10 05:39:16+00:00,2024-08-06 23:25:12+00:00,2018-11-19 07:51:38+00:00,85724,97,97,32,1,11,32,True,757564,"{'C#': '94.02%', 'ShaderLab': '4.88%', 'Python': '1.03%', 'Objective-C++': '0.07%'}",1,0,0,0,0,0,3,2018-05-10 05:44:50+00:00,2018-11-19 07:51:37+00:00,1,"['unity3d', 'arcore', 'ios', 'arkit', 'android']",2,20240809_144521
googlesamples/google-photos,google-photos,googlesamples,https://github.com/googlesamples/google-photos,Samples for the Google Photos Library API 📸,JavaScript,2018-05-08 16:54:43+00:00,2024-07-27 09:36:01+00:00,2024-07-09 23:03:20+00:00,1180,495,495,214,16,38,214,False,68428,"{'JavaScript': '59.26%', 'EJS': '34.92%', 'CSS': '5.82%'}",36,20,8,7,15,1,18,2018-04-26 00:36:49+00:00,2023-01-05 17:49:50+00:00,3,"['google-photos', 'sample']",3,20240809_144521
googlesamples/arcore-illusive-images,arcore-illusive-images,googlesamples,https://github.com/googlesamples/arcore-illusive-images,,C#,2018-05-08 19:09:27+00:00,2024-07-08 15:10:04+00:00,2018-12-28 09:53:33+00:00,82492,62,62,25,0,13,25,True,683465,"{'C#': '97.56%', 'ShaderLab': '2.37%', 'Objective-C++': '0.08%'}",2,2,2,0,2,2,9,2018-05-10 07:53:03+00:00,2018-12-28 09:53:32+00:00,1,[],2,20240809_144521
googlesamples/io19-sonic-boom,io19-sonic-boom,googlesamples,https://github.com/googlesamples/io19-sonic-boom,"Live coding demo of ""Sonic Boom!"" talk in Google I/O 2019",C++,2019-05-02 20:49:04+00:00,2023-10-07 07:45:11+00:00,2019-05-09 02:12:14+00:00,163,10,10,4,0,10,4,False,92028,"{'C++': '72.16%', 'JavaScript': '14.22%', 'Java': '4.89%', 'HTML': '2.74%', 'C': '2.68%', 'CSS': '1.48%', 'Makefile': '0.93%', 'CMake': '0.89%'}",0,0,0,0,0,0,1,2019-05-09 02:08:37+00:00,2019-05-09 02:08:37+00:00,1,[],1,20240809_144521
googlesamples/android-dynamic-code-loading,android-dynamic-code-loading,googlesamples,https://github.com/googlesamples/android-dynamic-code-loading,Android dynamic code loading sample for Dynamic Feature Modules.,Kotlin,2019-05-06 15:00:47+00:00,2024-07-11 09:39:20+00:00,2022-12-17 09:11:02+00:00,148,423,423,65,12,32,65,True,28584,{'Kotlin': '100.00%'},14,2,0,4,4,0,2,2019-04-26 12:18:34+00:00,2019-05-13 07:58:35+00:00,1,[],1,20240809_144522
googlesamples/maps-deckgl-scatterplot-example,maps-deckgl-scatterplot-example,googlesamples,https://github.com/googlesamples/maps-deckgl-scatterplot-example,,JavaScript,2019-10-02 20:24:09+00:00,2022-08-19 14:22:54+00:00,2019-10-12 10:29:19+00:00,644,11,11,7,2,8,7,False,8199,"{'JavaScript': '51.73%', 'HTML': '44.52%', 'CSS': '3.76%'}",2,0,0,1,1,0,8,2019-10-02 00:53:07+00:00,2019-10-02 20:43:11+00:00,1,[],1,20240809_144522
googlesamples/functions-as-a-service,functions-as-a-service,googlesamples,https://github.com/googlesamples/functions-as-a-service,A demo showing Google Cloud Functions + Google Maps Platform,TypeScript,2019-05-06 19:10:37+00:00,2024-08-01 21:54:32+00:00,2024-06-11 13:41:03+00:00,364,28,28,11,11,7,11,False,5626,"{'TypeScript': '98.12%', 'Shell': '1.88%'}",15,4,1,11,12,0,9,2019-05-22 21:11:52+00:00,2019-07-22 17:13:57+00:00,12,[],1,20240809_144522
googlesamples/assistant-sdk-python,assistant-sdk-python,googlesamples,https://github.com/googlesamples/assistant-sdk-python,Samples and bindings for the Google Assistant API,Python,2017-04-25 22:06:02+00:00,2024-07-30 05:55:25+00:00,2022-08-10 14:54:44+00:00,676,914,914,322,146,91,322,True,113581,{'Python': '100.00%'},451,305,44,9,53,38,332,2017-11-01 00:50:05+00:00,2020-02-10 02:22:41+00:00,15,"['assistant', 'protocol-buffers', 'python']",15,20240809_144522
googlesamples/google-signin-unity,google-signin-unity,googlesamples,https://github.com/googlesamples/google-signin-unity,Google Sign-In API plugin for Unity game engine.  Works with Android and iOS.,C++,2017-10-12 16:40:40+00:00,2024-08-03 22:23:45+00:00,2024-07-13 16:16:15+00:00,235,407,407,223,181,24,223,False,258556,"{'C++': '38.50%', 'Java': '31.26%', 'C#': '13.57%', 'Objective-C++': '11.70%', 'CMake': '2.49%', 'Objective-C': '1.12%', 'C': '0.70%', 'Ruby': '0.62%', 'Shell': '0.05%'}",256,75,11,12,23,2,37,2017-03-29 15:02:35+00:00,2018-09-19 16:58:19+00:00,1,[],4,20240809_144523
googlesamples/identity-appflip-tester-ios,identity-appflip-tester-ios,googlesamples,https://github.com/googlesamples/identity-appflip-tester-ios,Lightweight iOS app that simulates the Google app role during App Flip,Swift,2019-10-08 18:13:47+00:00,2024-03-12 12:45:12+00:00,2020-11-22 06:15:39+00:00,108,9,9,5,0,9,5,True,5107,{'Swift': '100.00%'},3,3,2,0,2,2,7,2019-09-10 19:15:57+00:00,2020-08-26 14:44:12+00:00,2,"['account-linking', 'oauth2', 'authorization', 'authentication', 'ios']",1,20240809_144524
