full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage
googlesamples/assistant-sdk-nodejs,assistant-sdk-nodejs,googlesamples,https://github.com/googlesamples/assistant-sdk-nodejs,,JavaScript,2018-05-07 21:27:51+00:00,2024-05-04 11:23:15+00:00,2018-11-27 19:33:01+00:00,14,93,93,27,6,13,27,False,4574,{'JavaScript': '100.00%'}
googlesamples/google-photos,google-photos,googlesamples,https://github.com/googlesamples/google-photos,Samples for the Google Photos Library API 📸,JavaScript,2018-05-08 16:54:43+00:00,2024-07-27 09:36:01+00:00,2024-07-09 23:03:20+00:00,1180,495,495,214,16,38,214,False,68428,"{'JavaScript': '59.26%', 'EJS': '34.92%', 'CSS': '5.82%'}"
googlesamples/arcore-illusive-images,arcore-illusive-images,googlesamples,https://github.com/googlesamples/arcore-illusive-images,,C#,2018-05-08 19:09:27+00:00,2024-07-08 15:10:04+00:00,2018-12-28 09:53:33+00:00,82492,62,62,25,0,13,25,True,683465,"{'C#': '97.56%', 'ShaderLab': '2.37%', 'Objective-C++': '0.08%'}"
googlesamples/sceneform-samples,sceneform-samples,googlesamples,https://github.com/googlesamples/sceneform-samples,Sceneform samples for 3D rendering for ARCore in Java.,Java,2018-08-08 00:18:33+00:00,2023-12-07 08:49:32+00:00,2018-12-06 22:12:32+00:00,19502,87,87,22,4,15,22,True,54246,{'Java': '100.00%'}
googlesamples/pluscode-swift-demo,pluscode-swift-demo,googlesamples,https://github.com/googlesamples/pluscode-swift-demo,An example Plus Code service written in Swift,Swift,2019-04-16 23:21:03+00:00,2020-09-19 08:44:40+00:00,2019-07-31 07:40:48+00:00,9,2,2,5,0,8,5,False,4701,"{'Swift': '81.64%', 'Dockerfile': '18.36%'}"
googlesamples/arcore-lightboard,arcore-lightboard,googlesamples,https://github.com/googlesamples/arcore-lightboard,,C#,2018-05-10 05:39:16+00:00,2024-04-04 08:03:48+00:00,2018-11-19 07:51:38+00:00,85724,96,96,32,1,11,32,True,757564,"{'C#': '94.02%', 'ShaderLab': '4.88%', 'Python': '1.03%', 'Objective-C++': '0.07%'}"
googlesamples/io19-sonic-boom,io19-sonic-boom,googlesamples,https://github.com/googlesamples/io19-sonic-boom,"Live coding demo of ""Sonic Boom!"" talk in Google I/O 2019",C++,2019-05-02 20:49:04+00:00,2023-10-07 07:45:11+00:00,2019-05-09 02:12:14+00:00,163,10,10,4,0,10,4,False,92028,"{'C++': '72.16%', 'JavaScript': '14.22%', 'Java': '4.89%', 'HTML': '2.74%', 'C': '2.68%', 'CSS': '1.48%', 'Makefile': '0.93%', 'CMake': '0.89%'}"
googlesamples/sceneform-poly-browser,sceneform-poly-browser,googlesamples,https://github.com/googlesamples/sceneform-poly-browser,,Java,2018-12-19 21:45:19+00:00,2020-10-01 06:03:25+00:00,2018-12-20 18:49:35+00:00,130,6,6,5,0,6,5,False,49204,{'Java': '100.00%'}
googlesamples/android-dynamic-code-loading,android-dynamic-code-loading,googlesamples,https://github.com/googlesamples/android-dynamic-code-loading,Android dynamic code loading sample for Dynamic Feature Modules.,Kotlin,2019-05-06 15:00:47+00:00,2024-07-11 09:39:20+00:00,2022-12-17 09:11:02+00:00,148,423,423,65,12,32,65,True,28584,{'Kotlin': '100.00%'}
googlesamples/functions-as-a-service,functions-as-a-service,googlesamples,https://github.com/googlesamples/functions-as-a-service,A demo showing Google Cloud Functions + Google Maps Platform,TypeScript,2019-05-06 19:10:37+00:00,2024-08-01 21:54:32+00:00,2024-06-11 13:41:03+00:00,364,28,28,11,11,7,11,False,5626,"{'TypeScript': '98.12%', 'Shell': '1.88%'}"
googlesamples/maps-deckgl-scatterplot-example,maps-deckgl-scatterplot-example,googlesamples,https://github.com/googlesamples/maps-deckgl-scatterplot-example,,JavaScript,2019-10-02 20:24:09+00:00,2022-08-19 14:22:54+00:00,2019-10-12 10:29:19+00:00,644,11,11,7,2,8,7,False,8199,"{'JavaScript': '51.73%', 'HTML': '44.52%', 'CSS': '3.76%'}"
googlesamples/identity-appflip-tester-android,identity-appflip-tester-android,googlesamples,https://github.com/googlesamples/identity-appflip-tester-android,Lightweight Android app that simulates the Google app role during App Flip,Java,2019-10-08 18:39:13+00:00,2024-07-26 13:50:00+00:00,2020-08-26 13:36:32+00:00,186,17,17,8,3,16,8,False,10564,{'Java': '100.00%'}
googlesamples/identity-appflip-tester-ios,identity-appflip-tester-ios,googlesamples,https://github.com/googlesamples/identity-appflip-tester-ios,Lightweight iOS app that simulates the Google app role during App Flip,Swift,2019-10-08 18:13:47+00:00,2024-03-12 12:45:12+00:00,2020-11-22 06:15:39+00:00,108,9,9,5,0,9,5,True,5107,{'Swift': '100.00%'}
googlesamples/glass-enterprise-samples,glass-enterprise-samples,googlesamples,https://github.com/googlesamples/glass-enterprise-samples,Glass Enterprise Edition 2 Samples,Java,2020-01-15 05:41:57+00:00,2024-07-23 19:15:03+00:00,2023-03-15 17:16:51+00:00,733,123,123,93,9,27,93,True,542450,"{'Java': '92.30%', 'Kotlin': '7.09%', 'Python': '0.46%', 'Shell': '0.15%'}"
googlesamples/identity-appflip-ios,identity-appflip-ios,googlesamples,https://github.com/googlesamples/identity-appflip-ios,Lightweight iOS app that simulates your native app role during App Flip,Swift,2019-10-08 18:47:45+00:00,2024-04-26 19:54:33+00:00,2020-08-26 14:41:53+00:00,46,10,10,10,0,9,10,False,4429,{'Swift': '100.00%'}
googlesamples/mlkit,mlkit,googlesamples,https://github.com/googlesamples/mlkit,A collection of sample apps to demonstrate how to use Google's ML Kit APIs on Android and iOS,Java,2020-05-28 21:40:38+00:00,2024-08-03 14:12:59+00:00,2024-05-08 06:25:04+00:00,47813,3474,3474,2907,142,128,2907,False,1961072,"{'Java': '31.48%', 'Kotlin': '28.80%', 'Objective-C': '23.74%', 'Swift': '14.77%', 'Jupyter Notebook': '0.69%', 'Ruby': '0.53%'}"
googlesamples/arcore-depth-lab,arcore-depth-lab,googlesamples,https://github.com/googlesamples/arcore-depth-lab,ARCore Depth Lab is a set of Depth API samples that provides assets using depth for advanced geometry-aware features in AR interaction and rendering. (UIST 2020),C#,2020-06-16 23:16:30+00:00,2024-07-29 23:07:45+00:00,2024-06-05 20:28:30+00:00,80334,768,768,152,0,35,152,False,316597,"{'C#': '76.52%', 'ShaderLab': '17.87%', 'GLSL': '3.16%', 'HLSL': '2.46%'}"
googlesamples/task-interop,task-interop,googlesamples,https://github.com/googlesamples/task-interop,,Kotlin,2020-11-16 15:27:53+00:00,2024-07-09 16:34:25+00:00,2024-07-09 16:34:21+00:00,96,6,6,9,0,8,9,False,6427,{'Kotlin': '100.00%'}
googlesamples/amapi,amapi,googlesamples,https://github.com/googlesamples/amapi,,Kotlin,2021-09-24 15:38:07+00:00,2024-04-08 15:19:09+00:00,2022-02-17 13:52:43+00:00,73,8,8,5,0,8,5,False,13234,{'Kotlin': '100.00%'}
googlesamples/gboard-dev-samples,gboard-dev-samples,googlesamples,https://github.com/googlesamples/gboard-dev-samples,,Java,2021-02-03 22:29:17+00:00,2024-06-08 10:34:39+00:00,2021-02-03 23:29:06+00:00,1165,4,4,1,1,6,1,False,9067,{'Java': '100.00%'}
googlesamples/arcore-ml-sample,arcore-ml-sample,googlesamples,https://github.com/googlesamples/arcore-ml-sample,,Java,2021-05-18 13:56:59+00:00,2024-07-16 13:00:17+00:00,2022-02-09 10:50:52+00:00,776,71,71,31,8,10,31,False,136287,"{'Java': '64.34%', 'Kotlin': '31.73%', 'GLSL': '3.93%'}"
googlesamples/.github,.github,googlesamples,https://github.com/googlesamples/.github,,,2022-10-26 03:32:10+00:00,2024-03-29 09:13:59+00:00,2022-10-26 03:32:12+00:00,0,1,1,0,0,5,0,True,0,{}
googlesamples/meet-live-sharing,meet-live-sharing,googlesamples,https://github.com/googlesamples/meet-live-sharing,,Java,2022-08-24 18:34:28+00:00,2024-05-30 10:07:03+00:00,2023-10-06 18:21:45+00:00,271,10,10,3,0,8,3,False,104405,"{'Java': '51.91%', 'Swift': '48.09%'}"
googlesamples/identity-appflip-android,identity-appflip-android,googlesamples,https://github.com/googlesamples/identity-appflip-android,Lightweight Android app that simulates your native app role during App Flip,Java,2019-10-08 18:43:05+00:00,2024-07-26 13:58:24+00:00,2020-04-04 07:55:58+00:00,211,34,34,8,2,22,8,True,11042,{'Java': '100.00%'}
googlesamples/subgraph_sdk_sample,subgraph_sdk_sample,googlesamples,https://github.com/googlesamples/subgraph_sdk_sample,,Kotlin,2022-12-15 03:54:35+00:00,2024-05-30 09:51:23+00:00,2024-03-25 16:29:58+00:00,289,6,6,1,0,3,1,False,11785,{'Kotlin': '100.00%'}
googlesamples/.allstar,.allstar,googlesamples,https://github.com/googlesamples/.allstar,,,2022-10-26 03:32:07+00:00,2024-02-08 21:09:03+00:00,2022-12-06 23:07:03+00:00,0,1,1,2,0,5,2,True,0,{}
googlesamples/searchinapps-sample,searchinapps-sample,googlesamples,https://github.com/googlesamples/searchinapps-sample,,Kotlin,2024-03-04 17:10:42+00:00,2024-06-26 19:58:46+00:00,2024-06-26 19:58:42+00:00,161,2,2,2,1,8,2,False,26632,"{'Kotlin': '56.67%', 'Java': '43.33%'}"
googlesamples/engage-sdk-samples,engage-sdk-samples,googlesamples,https://github.com/googlesamples/engage-sdk-samples,"Set of sample apps that demonstrate how to integrate the SDK in your app to publish different types of content. These apps are a great way to learn how to use the SDK, to get started with the integration in your own app, as well as some best practices.",Java,2023-08-25 04:18:25+00:00,2024-05-30 09:34:44+00:00,2024-04-05 17:17:29+00:00,286,4,4,2,1,7,2,False,240386,"{'Java': '50.68%', 'Kotlin': '49.32%'}"
googlesamples/zero-touch-enrollment-colabs,zero-touch-enrollment-colabs,googlesamples,https://github.com/googlesamples/zero-touch-enrollment-colabs,,Jupyter Notebook,2023-08-18 17:50:21+00:00,2024-05-30 10:08:35+00:00,2023-09-27 16:53:44+00:00,13,1,1,1,0,2,1,False,18098,{'Jupyter Notebook': '100.00%'}
