full_name,owner,html_url,stargazers_count,forks_count,watchers_count,contributors_count,language,size,LOC,first_commit_date,last_commit_date,commits_count,year,month,days,year,month,days,year,month,days,open_issues_count,closed_issues_count,issues_count,open_pulls_count,closed_pulls_count,Total PR,merged_pulls_count,% of open_pulls_count,% of Merged,archived
amazon-ivs-clip-web-demo,Amazon AWS,https://github.com/aws-samples/amazon-ivs-clip-web-demo,18,7,15,6,JavaScript,1.024,38.635,19/11/2020,22/01/2024,37,3,2,3,3,9,0,0,6,28,5,16,21,4,14,18,14,"22,22%","100,00%",FALSE
amazon-ivs-dvr-web-demo,Amazon AWS,https://github.com/aws-samples/amazon-ivs-dvr-web-demo,19,10,13,7,JavaScript,5.661,88.468,01/04/2022,16/07/2024,45,2,3,15,2,4,18,0,1,3,5,21,26,5,19,24,17,"20,83%","89,47%",FALSE
amazon-ivs-ecommerce-android-demo,Amazon AWS,https://github.com/aws-samples/amazon-ivs-ecommerce-android-demo,22,10,15,5,Kotlin,1.974,33.071,15/09/2020,17/10/2023,47,3,1,2,3,11,4,0,10,2,0,21,21,0,21,21,21,"0,00%","100,00%",FALSE
amazon-ivs-fitness-web-demo,Amazon AWS,https://github.com/aws-samples/amazon-ivs-fitness-web-demo,10,5,14,6,JavaScript,3.546,95.216,22/03/2022,07/03/2024,31,1,11,14,2,4,28,0,5,12,5,20,25,5,20,25,12,"20,00%","60,00%",FALSE
amazon-ivs-on-demand-android-demo,Amazon AWS,https://github.com/aws-samples/amazon-ivs-on-demand-android-demo,2,5,14,6,Kotlin,881,15.356,21/04/2021,17/10/2023,43,2,5,26,3,3,29,0,10,2,0,19,19,0,19,19,18,"0,00%","94,74%",FALSE
amazon-ivs-player-android-sample,Amazon AWS,https://github.com/aws-samples/amazon-ivs-player-android-sample,28,9,15,15,Kotlin,314,86.111,06/04/2020,08/08/2024,56,4,4,2,4,4,13,0,0,11,6,43,49,0,38,38,38,"0,00%","100,00%",FALSE
amazon-ivs-player-web-sample,Amazon AWS,https://github.com/aws-samples/amazon-ivs-player-web-sample,78,32,20,14,JavaScript,1.617,2.815,11/03/2021,08/08/2024,128,3,4,28,3,5,8,0,0,11,16,79,95,1,56,57,43,"1,75%","76,79%",FALSE
amazon-ivs-real-time-streaming-android-samples,Amazon AWS,https://github.com/aws-samples/amazon-ivs-real-time-streaming-android-samples,3,2,12,8,Kotlin,125,24.180,02/06/2023,23/07/2024,34,1,1,21,1,2,17,0,0,27,0,13,13,0,13,13,12,"0,00%","92,31%",FALSE
amazon-kendra-langchain-extensions,Amazon AWS,https://github.com/aws-samples/amazon-kendra-langchain-extensions,156,104,4,13,Python,109,76.265,15/05/2023,06/05/2024,109,0,11,21,1,3,4,0,3,13,10,74,84,5,53,58,38,"8,62%","71,70%",FALSE
amazon-kinesis-analytics-beam-taxi-consumer,Amazon AWS,https://github.com/aws-samples/amazon-kinesis-analytics-beam-taxi-consumer,46,23,12,6,Java,1.293,33.927,19/06/2019,25/10/2023,83,4,4,6,5,2,0,0,9,25,0,23,23,0,21,21,15,"0,00%","71,43%",FALSE
