full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count,timestamp
spring-guides/gs-spring-cloud-loadbalancer,gs-spring-cloud-loadbalancer,spring-guides,https://github.com/spring-guides/gs-spring-cloud-loadbalancer,"Client-Side Load-Balancing with Spring Cloud LoadBalancer :: Dynamically select correct instance for the request :: spring-cloud,spring-cloud-loadbalancer,spring-cloud-commons",Java,2019-09-25 20:30:34+00:00,2024-08-02 07:36:28+00:00,2023-12-19 14:44:49+00:00,383,27,27,38,2,21,38,False,10250,"{'Java': '96.23%', 'Shell': '3.77%'}",15,13,9,2,11,6,40,2019-09-25 20:30:35+00:00,2023-12-19 14:43:48+00:00,5,"['spring-cloud', 'spring-cloud-commons']",7,20240809_144158
spring-guides/gs-spring-cloud-stream,gs-spring-cloud-stream,spring-guides,https://github.com/spring-guides/gs-spring-cloud-stream,Spring Cloud Stream :: Learn how to build and test Spring Cloud Stream Applications with RabbitMQ and Apache Kafka,Java,2019-10-24 18:34:39+00:00,2024-07-03 11:32:51+00:00,2024-07-03 11:32:47+00:00,601,5,5,13,3,21,13,False,7960,{'Java': '100.00%'},8,5,4,1,5,4,21,2019-10-24 18:44:42+00:00,2024-07-03 11:32:27+00:00,1,[],5,20240809_144158
spring-guides/gs-spring-cloud-dataflow,gs-spring-cloud-dataflow,spring-guides,https://github.com/spring-guides/gs-spring-cloud-dataflow,"Spring Cloud Data Flow :: Learn how to build, deploy and launch streaming and batch data pipelines using Spring Cloud Data Flow",,2019-10-24 18:35:56+00:00,2024-07-07 13:53:15+00:00,2021-06-01 20:50:38+00:00,5,2,2,4,0,21,4,False,0,{},1,1,1,0,1,1,6,2019-10-24 18:43:54+00:00,2021-06-01 20:50:36+00:00,1,[],1,20240809_144158
spring-guides/gs-spring-cloud-task,gs-spring-cloud-task,spring-guides,https://github.com/spring-guides/gs-spring-cloud-task,Spring Cloud Task :: Learn how to build and test Spring Cloud Task Applications,Java,2019-10-24 18:36:39+00:00,2024-07-09 11:14:15+00:00,2024-07-09 11:03:31+00:00,84,3,3,5,1,18,5,False,1930,{'Java': '100.00%'},11,10,6,0,6,4,19,2019-10-24 18:45:06+00:00,2024-07-09 11:03:31+00:00,1,[],4,20240809_144159
spring-guides/gs-spring-boot-kubernetes,gs-spring-boot-kubernetes,spring-guides,https://github.com/spring-guides/gs-spring-boot-kubernetes,"Spring Boot Kubernetes :: Deploy a Spring Boot application to Kubernetes :: spring-boot,spring-framework",Java,2019-11-19 15:05:51+00:00,2024-07-01 10:55:05+00:00,2024-07-01 10:55:00+00:00,97,47,47,49,1,21,49,False,2631,"{'Java': '54.20%', 'Dockerfile': '34.21%', 'Shell': '11.59%'}",7,6,3,0,3,1,46,2019-11-19 15:05:26+00:00,2024-07-01 10:55:00+00:00,1,[],4,20240809_144159
spring-guides/.github,.github,spring-guides,https://github.com/spring-guides/.github,,,2022-02-07 22:53:28+00:00,2022-02-07 22:53:28+00:00,2023-02-21 22:32:12+00:00,2,0,0,1,0,4,1,False,0,{},0,0,0,0,0,0,3,2021-12-10 20:37:00+00:00,2023-02-21 22:32:12+00:00,1,[],2,20240809_144200
spring-guides/top-spring-on-kubernetes,top-spring-on-kubernetes,spring-guides,https://github.com/spring-guides/top-spring-on-kubernetes,Spring on Kubernetes :: Topic guide to Spring and Kubernetes,Java,2020-10-21 19:48:57+00:00,2024-06-17 20:06:57+00:00,2024-07-24 13:50:41+00:00,1304,17,17,13,7,20,13,False,1113,{'Java': '100.00%'},8,1,1,2,3,1,15,2015-02-16 01:03:46+00:00,2020-10-26 15:04:43+00:00,2,[],3,20240809_144200
spring-guides/gs-guides-with-vscode,gs-guides-with-vscode,spring-guides,https://github.com/spring-guides/gs-guides-with-vscode,Building a Guide with VS Code :: Learn how to import and work with a Spring Getting Started Guide in VS Code.,Shell,2021-05-26 17:39:35+00:00,2024-07-24 10:07:01+00:00,2021-06-01 20:49:48+00:00,746,2,2,5,0,19,5,False,48,{'Shell': '100.00%'},0,0,0,0,0,0,119,2014-05-05 14:13:45+00:00,2021-06-01 20:49:46+00:00,1,[],8,20240809_144200
spring-guides/gs-accessing-data-cassandra,gs-accessing-data-cassandra,spring-guides,https://github.com/spring-guides/gs-accessing-data-cassandra,Accessing Data with Cassandra :: Learn how to persist data in Cassandra.,Java,2022-01-28 23:25:08+00:00,2024-06-21 13:50:18+00:00,2024-06-21 13:50:15+00:00,231,5,5,10,1,19,10,False,3943,"{'Java': '90.21%', 'Shell': '9.79%'}",3,2,2,0,2,0,25,2021-06-21 14:02:49+00:00,2024-06-21 13:49:41+00:00,2,[],2,20240809_144200
spring-guides/tut-spring-webflux-kotlin-rsocket,tut-spring-webflux-kotlin-rsocket,spring-guides,https://github.com/spring-guides/tut-spring-webflux-kotlin-rsocket,"Spring Boot with Kotlin Coroutines and RSocket :: Build a chat application with Reactive Web services from Spring, Kotlin, WebFlux and RSocket",JavaScript,2021-02-03 10:52:28+00:00,2024-07-01 19:00:41+00:00,2023-08-14 22:23:30+00:00,3944,43,43,20,4,22,20,False,230048,"{'JavaScript': '91.22%', 'HTML': '6.37%', 'Kotlin': '2.41%'}",6,2,2,3,5,1,19,2020-07-20 19:11:05+00:00,2022-11-26 12:06:17+00:00,6,"['webflux', 'rsocket', 'kotlin', 'spring', 'spring-boot', 'coroutines']",5,20240809_144200
spring-guides/gs-tanzu-observability,gs-tanzu-observability,spring-guides,https://github.com/spring-guides/gs-tanzu-observability,Observability with Spring :: Learn how to send application metrics to Tanzu Observability,Java,2021-01-13 13:24:54+00:00,2024-05-29 14:32:53+00:00,2024-08-01 18:14:02+00:00,2578,3,3,9,1,20,9,False,1629,"{'Java': '76.30%', 'Shell': '23.70%'}",6,5,5,1,6,5,26,2021-01-13 13:29:23+00:00,2024-05-29 14:32:26+00:00,2,[],7,20240809_144200
spring-guides/gs-accessing-data-r2dbc,gs-accessing-data-r2dbc,spring-guides,https://github.com/spring-guides/gs-accessing-data-r2dbc,Accessing data with R2DBC :: Learn how to access relational data with the reactive protocol R2DBC,Java,2019-12-06 13:16:33+00:00,2024-07-23 15:45:51+00:00,2024-07-23 15:33:39+00:00,537,47,47,21,0,20,21,False,5496,{'Java': '100.00%'},7,7,5,0,5,3,132,2014-11-12 19:07:32+00:00,2024-07-23 15:33:39+00:00,1,[],9,20240809_144200
spring-guides/gs-graphql-server,gs-graphql-server,spring-guides,https://github.com/spring-guides/gs-graphql-server,Building a GraphQL service :: Learn how to build a GraphQL service with Spring for GraphQL.,Java,2022-12-07 20:09:34+00:00,2024-08-09 12:26:27+00:00,2024-08-09 12:26:22+00:00,320,21,21,36,0,12,36,False,3809,{'Java': '100.00%'},10,10,10,0,10,3,23,2023-01-04 15:02:47+00:00,2024-08-09 12:26:22+00:00,1,"['spring-boot', 'graphql']",7,20240809_144201
spring-guides/gs-cloud-circuit-breaker,gs-cloud-circuit-breaker,spring-guides,https://github.com/spring-guides/gs-cloud-circuit-breaker,Spring Cloud Circuit Breaker Guide :: How to Use Spring Cloud Circuit Breaker,Java,2020-03-06 16:23:28+00:00,2024-06-17 12:34:45+00:00,2024-06-17 12:24:23+00:00,608,12,12,16,0,20,16,False,4041,{'Java': '100.00%'},25,25,20,0,20,12,148,2015-06-12 17:49:00+00:00,2024-06-17 12:24:22+00:00,2,[],12,20240809_144200
